Country,Value
Pop,655933
Rock,443172
Folk,38410
Electronic,796565
Jazz,200103
Hip-hop,334753
Metal,23164
Country,40946
Blues,56226
Reggae,17048
World,317002
Sountracks,39030
Other,375014
Classical,41058
